source|source_Material|source_MaterialPrefixed|target_Material|target_MaterialName|target_MaterialType
TimeXtender|0020.270-00009|G0020.270-00009|1000200633|FI-T-FIXX -M20  70 EZP-|ZFER
TimeXtender|0020.270-00105|G0020.270-00105|1000200640|FI-T-FIXX -M12 115 R-|ZFER
TimeXtender|0020.270-00508|G0020.270-00508|1000200647|FI-T-FIXX FP-M16 110 R-|ZFER
TimeXtender|0027.010-00002|G0027.010-00002|1000200654|CC-CG HKW- 50/5 HDG-750/2|ZFER
TimeXtender|0027.010-00009|G0027.010-00009|1000200661|CC-CG HKW- 50/5 A2-1500/3|ZFER
TimeXtender|0740.220-00003|G0740.220-00003|1000201448|LS-HD-TRA-6361-10.0-L1060-RD36-EPS-OF|ZFER
TimeXtender|0741.180-00005|G0741.180-00005|1000201455|LS-HD-NPM-6365-7.5-RD30|ZFER
TimeXtender|0742.220-00104|G0742.220-00104|1000201462|AP-HLX Cast in 4000-link  -|ZFER
TimeXtender|0755.070-00004|G0755.070-00004|1000201469|SF-B-DT-U-Platte-25/11/3,0-RL13-A4|ZFER
TimeXtender|0920.270-02090|G0920.270-02090|1000201820|HIT-HP ZVX-0804-20-100-030-06|ZFER
TimeXtender|0950.010-00004|G0950.010-00004|1000201477|PC-CC-HCC-30-1100|ZFER
TimeXtender|0950.210-00001|G0950.210-00001|1000201484|PC-WC-HEK2-C-100-17 HDG|ZFER
TimeXtender|0950.220-00013|G0950.220-00013|1000201491|PC-WC-HEK2 AC-SW-100-21x5-HDG|ZFER
TimeXtender|0951.020-00002|G0951.020-00002|1000201498|PC-CC-HAB-S-20|ZFER
TimeXtender|0951.030-00007|G0951.030-00007|1000201505|PC-CC-HAB-MH-52|ZFER
TimeXtender|0552.030-00381|G0552.030-00381|4000002525|PS HDB S R-16/205|ZHAL
TimeXtender|0552.030-00402|G0552.030-00402|4000002533|PS HDB S R-16/415|ZHAL
TimeXtender|0552.030-00409|G0552.030-00409|4000002540|PS HDB S R-16/485|ZHAL
TimeXtender|0552.030-00434|G0552.030-00434|4000002565|PS HDB S R-16/735|ZHAL
TimeXtender|0552.030-00528|G0552.030-00528|4000002595|PS HDB S R-20/435|ZHAL
TimeXtender|0552.030-00537|G0552.030-00537|4000002602|PS HDB S R-20/525|ZHAL
TimeXtender|0552.030-00550|G0552.030-00550|4000002615|PS HDB S R-20/655|ZHAL
TimeXtender|0552.030-00567|G0552.030-00567|4000002632|PS HDB S R-20/825|ZHAL
TimeXtender|0552.030-00630|G0552.030-00630|4000002656|PS HDB S R-25/215|ZHAL
TimeXtender|0552.030-00644|G0552.030-00644|4000002664|PS HDB S R-25/355|ZHAL
TimeXtender|LIP1L16|DLIP1L16|3000020217|IS-AIS C-Lindapter TYP P1 M16-EP  T=8mm|ZHAW
TimeXtender|LIP1S12-FV|DLIP1S12-FV|3000020223|IS-AIS C-Lindapter TYP P1 M12-HDG  T=6mm|ZHAW
TimeXtender|LIP2L16|DLIP2L16|3000020230|IS-AIS C-Lindapter TYP P2 M16-EP  T=16mm|ZHAW
TimeXtender|LIP2S20|DLIP2S20|3000020237|IS-AIS C-Lindapter TYP P2 M20-EP  T=20mm|ZHAW
TimeXtender|LIW16|DLIW16|3000020244|IS-AIS C-Lindapter TYP W M16 -EP|ZHAW
TimeXtender|NIRO2516SPEZ|DNIRO2516SPEZ|3000020251|NIRO25-SPEZ 16MM RIPPENSTHL W.NR. 1.4362|ZHAW
TimeXtender|TD21S-5/25-300|DTD21S-5/25-300|3000020258|DEFORMATIONSLAGER TD21S-5/25-300|ZHAW
TimeXtender|TDG27S-5/33-175|DTDG27S-5/33-175|3000020265|DEFORMATIONS-UND GLEITLAGER TDG27S-5/33-|ZHAW
TimeXtender|TDG27S-5/50-300|DTDG27S-5/50-300|3000020272|DEFORMATIONS &GLEITLAGER TDG27S-5/50-300|ZHAW
TimeXtender|AKKUSCHRAUBER|EAKKUSCHRAUBER|3000020279|MBT Schrauber < Ø 22mm - Miete|ZHAW
TimeXtender|0240.060-00016|G0240.060-00016|3000022232|SCF-FPA 5Z-G 34,0kN  70/150-A4  (S)|ZHAW
TimeXtender|0240.070-00003|G0240.070-00003|3000022239|SCF-FPA5AZ-G5,0kN180/260-ar<=100-A4(L)|ZHAW
TimeXtender|0240.070-00011|G0240.070-00011|3000022246|SCF-FPA5AZ-G16,0kN150/190-ar<=140-A4(M)|ZHAW
TimeXtender|0240.070-00018|G0240.070-00018|3000022253|SCF-FPA5AZ-G34,0kN220/290-ar<=200-A4(L)|ZHAW
TimeXtender|0240.080-00001|G0240.080-00001|3000022260|SCF-FPA 3-G  5,0kN 60/120-A4  (M)|ZHAW
TimeXtender|0240.110-00002|G0240.110-00002|3000022267|SCF-FPA 3-R  8,0kN -A4|ZHAW
TimeXtender|0240.170-00003|G0240.170-00003|3000022274|SCF-FPA 5-M  5,0kN 180/260-A4  (L)|ZHAW
TimeXtender|0240.170-00010|G0240.170-00010|3000022281|SCF-FPA 5-M 16,0kN  60/140-A4  (S)|ZHAW
TimeXtender|0240.170-00017|G0240.170-00017|3000022288|SCF-FPA 5-M 34,0kN 160/210-A4  (M)|ZHAW
TimeXtender|0240.170-00025|G0240.170-00025|3000022295|SCF-FPA 5-M  5,0kN 270/350-A4 (XL)|ZHAW
TimeXtender|0350.090-00040|G0350.090-00040|3000021214|CA-TB HS 50/30 EPS-8.8 M12 x 045|ZHAW
TimeXtender|0350.090-00047|G0350.090-00047|3000021221|CA-TB HS 50/30 EPS-4.6 M16 x 040|ZHAW
TimeXtender|0350.090-00055|G0350.090-00055|3000021228|CA-TB HS 50/30 EPS-4.6 M16 x 300|ZHAW
TimeXtender|0350.090-00069|G0350.090-00069|3000021238|CA-TB HS 50/30 EPS-4.6 M20 x 125|ZHAW
TimeXtender|0350.090-00080|G0350.090-00080|3000021247|CA-TB HS 50/30 EPS-8.8 M20 x 080|ZHAW
TimeXtender|0350.090-00100|G0350.090-00100|3000021254|CA-TB HS 50/30 HDG-8.8 M20 x 150|ZHAW
TimeXtender|0350.090-00117|G0350.090-00117|3000021261|CA-TB HS 50/30 HDG-8.8 M12 x 080|ZHAW
TimeXtender|0350.090-00127|G0350.090-00127|3000021268|CA-TB HS 50/30 HDG-8.8 M20 x 060|ZHAW
TimeXtender|0350.098-00039|G0350.098-00039|3000021275|CA-TB HS 50/30 A4-70 M16 x 050|ZHAW
TimeXtender|0350.100-00006|G0350.100-00006|3000021282|CA-TB HS 72/48 HDG-4.6 M20 x 150|ZHAW
Roman&Eline|0725.200-00005|0725.200-00005|3000021938|HBS-05 - P -20 -Komplett (CH)|ZHAW
