MaterialGroupID;EClassCode;EClassCategory;EClassCategoryDescription;Category_L1;Category_L2;Category_L3;Category_L4
1JCCA;20050000;Packaging;Container, bucket, packaging (L3);Packaging;Container;Container, bucket, packaging;Container, bucket, packaging (L3)
1JCCB;20050101;Packaging;Bucket, metal, packaging (L4);Packaging;Container;Container, bucket, packaging;Bucket, metal, packaging (L4)
1JCCC;20050290;Packaging;Bucket, plastic, packaging (L4);Packaging;Container;Container, bucket, packaging;Bucket, plastic, packaging (L4)
1JCDA;20140000;Packaging;Container, crate, packaging (L3);Packaging;Container;Container, crate, packaging;Container, crate, packaging (L3)
1JCEA;20060000;Packaging;Container, drum, packaging (L3);Packaging;Container;Container, drum, packaging;Container, drum, packaging (L3)
1JCFA;20190000;Packaging;Lid, packaging (L3);Packaging;Container;Lid, packaging;Lid, packaging (L3)
1JDAA;20420000;Packaging;Packaging aid (L2);Packaging;Packaging aid;Packaging aid (L2);Packaging aid (L2)
1JDBA;23330200;Packaging;Adhesive tape (L3);Packaging;Packaging aid;Adhesive tape;Adhesive tape (L3)
1JDCA;24281400;Packaging;Label (L3);Packaging;Packaging aid;Label;Label (L3)
1JDDA;20420200;Packaging;Load securing material (L3);Packaging;Packaging aid;Load securing material;Load securing material (L3)
1JDDB;20420201;Packaging;Load securing grid/board, wood (L4);Packaging;Packaging aid;Load securing material;Load securing grid/board, wood (L4)
1JDDC;20420202;Packaging;Padding (L4);Packaging;Packaging aid;Load securing material;Padding (L4)
1JDDD;35030501;Packaging;Tarpaulin, plastic (L4);Packaging;Packaging aid;Load securing material;Tarpaulin, plastic (L4)
1JDDE;20420210;Packaging;Tightening strap, metal (L4);Packaging;Packaging aid;Load securing material;Tightening strap, metal (L4)
1JDDF;20420209;Packaging;Tightening strap, plastic (L4);Packaging;Packaging aid;Load securing material;Tightening strap, plastic (L4)
1JDEAA;20370000;Packaging;Paperboard (L3);Packaging;Packaging aid;Paperboard;Paperboard (L3)
1JDEAB;20370000;Packaging;Insulation;Packaging;Packaging aid;Paperboard;Paperboard (L3)
1JDEB;20370501;Packaging;Cardboard paper (L4);Packaging;Packaging aid;Paperboard;Cardboard paper (L4)
1JDEC;20370400;Packaging;Corrugated paperboard (L4);Packaging;Packaging aid;Paperboard;Corrugated paperboard (L4)
1JDFA;20270000;Packaging;Wrapping (L3);Packaging;Packaging aid;Wrapping;Wrapping (L3)
1JDFB;20380103;Packaging;Top sheet (L4);Packaging;Packaging aid;Wrapping;Top sheet (L4)
1JDFC;20270114;Packaging;Wrapping, shrink film, packaging (L4);Packaging;Packaging aid;Wrapping;Wrapping, shrink film, packaging (L4)
1JDFD;20270104;Packaging;Wrapping, stretch film, packaging (L4);Packaging;Packaging aid;Wrapping;Wrapping, stretch film, packaging (L4)
1JEAA;20260100;Packaging;Pallet, wood (L2);Packaging;Pallet, wood;Pallet, wood (L2);Pallet, wood (L2)
1JFA;20260301;Packaging;Pallet, Metal (L2);Packaging;Pallet, Metal;Pallet, Metal (L2);Pallet, Metal (L2)
1KAAA;36000000;Production equipment;Production equipment (L1);Production equipment;Production equipment (L1);Production equipment (L1);Production equipment (L1)
1KBAA;27230000;Production equipment;Control systems (L2);Production equipment;Control systems;Control systems (L2);Control systems (L2)
1KBBA;33058900;Production equipment;Environment control systems (L3);Production equipment;Control systems;Environment control systems;Environment control systems (L3)
1KBBB;36089123;Production equipment;Air pollution control systems (L4);Production equipment;Control systems;Environment control systems;Air pollution control systems (L4)
1KBBC;33059089;Production equipment;Baghouse (L4);Production equipment;Control systems;Environment control systems;Baghouse (L4)
1KBBD;33059088;Production equipment;Filter bags & cages (L4);Production equipment;Control systems;Environment control systems;Filter bags & cages (L4)
1KBBE;33059000;Production equipment;Recycling systems & parts (L4);Production equipment;Control systems;Environment control systems;Recycling systems & parts (L4)
1KBBF;33050000;Production equipment;Water treatment (L4);Production equipment;Control systems;Environment control systems;Water treatment (L4)
1KBCA;27120000;Production equipment;Plant control systems (L3);Production equipment;Control systems;Plant control systems;Plant control systems (L3)
1KCAA;27070000;Production equipment;Electrical equipment (L2);Production equipment;Electrical equipment;Electrical equipment (L2);Electrical equipment (L2)
1KCBA;27142400;Production equipment;Electrical distribution equipment (L3);Production equipment;Electrical equipment;Electrical distribution equipment;Electrical distribution equipment (L3)
1KCCA;27149100;Production equipment;Electrical parts & supplies (L3);Production equipment;Electrical equipment;Electrical parts & supplies;Electrical parts & supplies (L3)
1KCDA;36449100;Production equipment;Motor spareparts (L3);Production equipment;Electrical equipment;Motor spareparts;Motor spareparts (L3)
1KCEA;36449000;Production equipment;Motors (L3);Production equipment;Electrical equipment;Motors;Motors (L3)
1KDAA;36120000;Production equipment;Materials handling equipment (L2);Production equipment;Materials handling equipment;Materials handling equipment (L2);Materials handling equipment (L2)
1KDBA;36128900;Production equipment;Ashpalt plant systems & equipment (L3);Production equipment;Materials handling equipment;Ashpalt plant systems & equipment;Ashpalt plant systems & equipment (L3)
1KDBB;36120902;Production equipment;Batching systems & batch tower (L4);Production equipment;Materials handling equipment;Ashpalt plant systems & equipment;Batching systems & batch tower (L4)
1KDBC;36030105;Production equipment;Silos & surge bins (L4);Production equipment;Materials handling equipment;Ashpalt plant systems & equipment;Silos & surge bins (L4)
1KDBD;35030104;Production equipment;Storage tanks & systems (L4);Production equipment;Materials handling equipment;Ashpalt plant systems & equipment;Storage tanks & systems (L4)
1KDCA;36120400;Production equipment;Conveyor systems & parts (L3);Production equipment;Materials handling equipment;Conveyor systems & parts;Conveyor systems & parts (L3)
1KDCB;36120404;Production equipment;Chain (L4);Production equipment;Materials handling equipment;Conveyor systems & parts;Chain (L4)
1KDCC;36120402;Production equipment;Conveyor belting (L4);Production equipment;Materials handling equipment;Conveyor systems & parts;Conveyor belting (L4)
1KDCD;36120405;Production equipment;Conveyors & stackers (L4);Production equipment;Materials handling equipment;Conveyor systems & parts;Conveyors & stackers (L4)
1KDCE;36120990;Production equipment;Feeders, hoppers & bins (L4);Production equipment;Materials handling equipment;Conveyor systems & parts;Feeders, hoppers & bins (L4)
1KDCF;36129104;Production equipment;Idlers & pulleys (L4);Production equipment;Materials handling equipment;Conveyor systems & parts;Idlers & pulleys (L4)
1KDDA;36150000;Production equipment;Loading / unloading equipment (L3);Production equipment;Materials handling equipment;Loading / unloading equipment;Loading / unloading equipment (L3)
1KDEA;36520000;Production equipment;Packing plants & parts (L3);Production equipment;Materials handling equipment;Packing plants & parts;Packing plants & parts (L3)
1KDFA;27320000;Production equipment;Weighing systems & parts (L3);Production equipment;Materials handling equipment;Weighing systems & parts;Weighing systems & parts (L3)
1KDFB;27320101;Production equipment;Truck scales (L4);Production equipment;Materials handling equipment;Weighing systems & parts;Truck scales (L4)
1KEAA;36890000;Production equipment;Materials processing equipment (L2);Production equipment;Materials processing equipment;Materials processing equipment (L2);Materials processing equipment (L2)
1KEBA;36230000;Production equipment;Aggregate wash plant (L3);Production equipment;Materials processing equipment;Aggregate wash plant;Aggregate wash plant (L3)
1KECA;36082403;Production equipment;Alternative fuel machinery (L3);Production equipment;Materials processing equipment;Alternative fuel machinery;Alternative fuel machinery (L3)
1KEDA;35010600;Production equipment;Casted / forged parts (L3);Production equipment;Materials processing equipment;Casted / forged parts;Casted / forged parts (L3)
1KEDB;35010689;Production equipment;Cooler plates (L4);Production equipment;Materials processing equipment;Casted / forged parts;Cooler plates (L4)
1KEDC;36189104;Production equipment;Crusher wear parts (L4);Production equipment;Materials processing equipment;Casted / forged parts;Crusher wear parts (L4)
1KEDD;21012400;Production equipment;Gears, girth, ring & pinions (L4);Production equipment;Materials processing equipment;Casted / forged parts;Gears, girth, ring & pinions (L4)
1KEDE;36189189;Production equipment;Grinding media (L4);Production equipment;Materials processing equipment;Casted / forged parts;Grinding media (L4)
1KEDF;36089100;Production equipment;Kiln wear parts (L4);Production equipment;Materials processing equipment;Casted / forged parts;Kiln wear parts
1KEDG;35010688;Production equipment;Mixer tips & arms (L4);Production equipment;Materials processing equipment;Casted / forged parts;Mixer tips & arms (L4)
1KEDH;35010687;Production equipment;Pump wear parts (L4);Production equipment;Materials processing equipment;Casted / forged parts;Pump wear parts (L4)
1KEEA;17058800;Production equipment;Concrete production systems (L3);Production equipment;Materials processing equipment;Concrete production systems;Concrete production systems (L3)
1KEEB;36090200;Production equipment;Concrete mixers (L4);Production equipment;Materials processing equipment;Concrete production systems;Concrete mixers (L4)
1KEFA;36180000;Production equipment;Crushing systems & parts (L3);Production equipment;Materials processing equipment;Crushing systems & parts;Crushing systems & parts (L3)
1KEFB;36189190;Production equipment;Crusher ancillary parts (L4);Production equipment;Materials processing equipment;Crushing systems & parts;Crusher ancillary parts (L4)
1KEFC;36180100;Production equipment;Crushers (L4);Production equipment;Materials processing equipment;Crushing systems & parts;Crushers (L4)
1KEGA;36890100;Production equipment;Dredging systems (L3);Production equipment;Materials processing equipment;Dredging systems;Dredging systems (L3)
1KEHA;36160000;Production equipment;Drying equipment (L3);Production equipment;Materials processing equipment;Drying equipment;Drying equipment (L3)
1KEIA;36189000;Production equipment;Grinding systems & parts (L3);Production equipment;Materials processing equipment;Grinding systems & parts;Grinding systems & parts (L3)
1KEIB;36180200;Production equipment;Grinding mill (L4);Production equipment;Materials processing equipment;Grinding systems & parts;Grinding mill (L4)
1KEIC;36189103;Production equipment;Grinding mill parts (L4);Production equipment;Materials processing equipment;Grinding systems & parts;Grinding mill parts (L4)
1KEID;36189188;Production equipment;Mill / VRM liners (L4);Production equipment;Materials processing equipment;Grinding systems & parts;Mill / VRM liners (L4)
1KEJA;36080000;Production equipment;Kilns & parts (L3);Production equipment;Materials processing equipment;Kilns & parts;Kilns & parts (L3)
1KEJB;36088900;Production equipment;Kilns (L4);Production equipment;Materials processing equipment;Kilns & parts;Kilns (L4)
1KEJC;36089189;Production equipment;Refractory bricks (L4);Production equipment;Materials processing equipment;Kilns & parts;Refractory bricks (L4)
1KEKA;17058100;Production equipment;Precast production systems (L3);Production equipment;Materials processing equipment;Precast production systems;Precast production systems (L3)
1KELA;36190000;Production equipment;Screening systems & parts (L3);Production equipment;Materials processing equipment;Screening systems & parts;Screening systems & parts (L3)
1KELB;36191290;Production equipment;Screen media (L4);Production equipment;Materials processing equipment;Screening systems & parts;Screen media (L4)
1KELC;36199100;Production equipment;Screening parts (L4);Production equipment;Materials processing equipment;Screening systems & parts;Screening parts (L4)
1KELD;36191200;Production equipment;Screening systems (L4);Production equipment;Materials processing equipment;Screening systems & parts;Screening systems (L4)
1KFAA;17890000;Production equipment;Materials shaping equipment (L2);Production equipment;Materials shaping equipment;Materials shaping equipment (L2);Materials shaping equipment (L2)
1KFBA;18159000;Production equipment;Aluminium / aluminum extrusion plants & parts (L3);Production equipment;Materials shaping equipment;Aluminium / aluminum extrusion plants & parts;Aluminium / aluminum extrusion plants & parts (L3)
1KFCA;17090000;Production equipment;Glass production plants & parts (L3);Production equipment;Materials shaping equipment;Glass production plants & parts;Glass production plants & parts (L3)
1KFDA;21180000;Production equipment;Metal shaping equipment (L3);Production equipment;Materials shaping equipment;Metal shaping equipment;Metal shaping equipment (L3)
1KFEA;18060300;Production equipment;Moulds (L3);Production equipment;Materials shaping equipment;Moulds;Moulds (L3)
1KFFA;17069000;Production equipment;Plastic injection / extrusion equipment (L3);Production equipment;Materials shaping equipment;Plastic injection / extrusion equipment;Plastic injection / extrusion equipment (L3)
1KGAA;23000000;Production equipment;Production equipment supplies & consumables (L2);Production equipment;Production equipment supplies & consumables;Production equipment supplies & consumables (L2);Production equipment supplies & consumables (L2)
1KGBA;21060700;Production equipment;Air & compressed air systems (L3);Production equipment;Production equipment supplies & consumables;Air & compressed air systems;Air & compressed air systems (L3)
1KGCA;23050000;Production equipment;Bearings (L3);Production equipment;Production equipment supplies & consumables;Bearings;Bearings (L3)
1KGDA;27300000;Production equipment;Hydraulics & pneumatics (L3);Production equipment;Production equipment supplies & consumables;Hydraulics & pneumatics;Hydraulics & pneumatics (L3)
1KGEA;32000000;Production equipment;Laboratory equipment (L3);Production equipment;Production equipment supplies & consumables;Laboratory equipment;Laboratory equipment (L3)
1KGFA;36440000;Production equipment;Power transmission (L3);Production equipment;Production equipment supplies & consumables;Power transmission;Power transmission (L3)
1KGGA;36410000;Production equipment;Pumps (L3);Production equipment;Production equipment supplies & consumables;Pumps;Pumps (L3)
1KGHAA;21080700;Production equipment;Welding supplies & parts (L3);Production equipment;Production equipment supplies & consumables;Welding supplies & parts;Welding supplies & parts (L3)
1KGHAB;21080700;Production equipment;Plastic Molded Part;Production equipment;Production equipment supplies & consumables;Welding supplies & parts;Welding supplies & parts (L3)
1LAAA;26000000;Raw materials;Raw materials (L1);Raw materials;Raw materials (L1);Raw materials (L1);Raw materials (L1)
1LBAA;22130100;Raw materials;Aggregates (L2);Raw materials;Aggregates;Aggregates (L2);Aggregates (L2)
1LBBA;22130113;Raw materials;Crushed stone (L3);Raw materials;Aggregates;Crushed stone;Crushed stone (L3)
1LBCA;22130125;Raw materials;Recycled materials (L3);Raw materials;Aggregates;Recycled materials;Recycled materials (L3)
1LBDA;22130111;Raw materials;Sand (L3);Raw materials;Aggregates;Sand;Sand (L3)
1LBEA;22130109;Raw materials;Washed gravel (L3);Raw materials;Aggregates;Washed gravel;Washed gravel (L3)
1LCAA;22340301;Raw materials;Bitumen (L2);Raw materials;Bitumen;Bitumen (L2);Bitumen (L2)
1LCBA;22130117;Raw materials;Hotmix asphalt (L3);Raw materials;Bitumen;Hotmix asphalt;Hotmix asphalt (L3)
1LCCA;22340303;Raw materials;Liquid asphalt, emulsion (L3);Raw materials;Bitumen;Liquid asphalt, emulsion;Liquid asphalt, emulsion (L3)
1LCDA;22130118;Raw materials;Liquid asphalt, neat (L3);Raw materials;Bitumen;Liquid asphalt, neat;Liquid asphalt, neat (L3)
1LCDB;22130189;Raw materials;Liquid asphalt, neat 46-34 (L4);Raw materials;Bitumen;Liquid asphalt, neat;Liquid asphalt, neat 46-34 (L4)
1LCDC;22130188;Raw materials;Liquid asphalt, neat 58-22 (L4);Raw materials;Bitumen;Liquid asphalt, neat;Liquid asphalt, neat 58-22 (L4)
1LCDD;22130187;Raw materials;Liquid asphalt, neat 58-28 (L4);Raw materials;Bitumen;Liquid asphalt, neat;Liquid asphalt, neat 58-28 (L4)
1LCDE;22130186;Raw materials;Liquid asphalt, neat 64-22 (L4);Raw materials;Bitumen;Liquid asphalt, neat;Liquid asphalt, neat 64-22 (L4)
1LCDF;22130185;Raw materials;Liquid asphalt, neat 64-28 (L4);Raw materials;Bitumen;Liquid asphalt, neat;Liquid asphalt, neat 64-28 (L4)
1LCDG;22130184;Raw materials;Liquid asphalt, neat 67-22 (L4);Raw materials;Bitumen;Liquid asphalt, neat;Liquid asphalt, neat 67-22 (L4)
1LCDH;22130183;Raw materials;Liquid asphalt, neat 70-22 (L4);Raw materials;Bitumen;Liquid asphalt, neat;Liquid asphalt, neat 70-22 (L4)
1LCDI;22130182;Raw materials;Liquid asphalt, neat AC-30 (L4);Raw materials;Bitumen;Liquid asphalt, neat;Liquid asphalt, neat AC-30 (L4)
1LCEA;22130126;Raw materials;Mastic asphalt polymeric modified (L3);Raw materials;Bitumen;Mastic asphalt polymeric modified;Mastic asphalt polymeric modified (L3)
1LCEB;22130181;Raw materials;Mastic asphalt polymeric modified, 52-34 (L4);Raw materials;Bitumen;Mastic asphalt polymeric modified;Mastic asphalt polymeric modified, 52-34 (L4)
1LCEC;22130180;Raw materials;Mastic asphalt polymeric modified, 52-58 (L4);Raw materials;Bitumen;Mastic asphalt polymeric modified;Mastic asphalt polymeric modified, 52-58 (L4)
1LCED;22130179;Raw materials;Mastic asphalt polymeric modified, 58-34 (L4);Raw materials;Bitumen;Mastic asphalt polymeric modified;Mastic asphalt polymeric modified, 58-34 (L4)
1LCEE;22130178;Raw materials;Mastic asphalt polymeric modified, 62-22 (L4);Raw materials;Bitumen;Mastic asphalt polymeric modified;Mastic asphalt polymeric modified, 62-22 (L4)
1LCEF;22130177;Raw materials;Mastic asphalt polymeric modified, 64-28 (L4);Raw materials;Bitumen;Mastic asphalt polymeric modified;Mastic asphalt polymeric modified, 64-28 (L4)
1LCEG;22130176;Raw materials;Mastic asphalt polymeric modified, 64-34 (L4);Raw materials;Bitumen;Mastic asphalt polymeric modified;Mastic asphalt polymeric modified, 64-34 (L4)
1LCEH;22130175;Raw materials;Mastic asphalt polymeric modified, 70-22 (L4);Raw materials;Bitumen;Mastic asphalt polymeric modified;Mastic asphalt polymeric modified, 70-22 (L4)
1LCEI;22130174;Raw materials;Mastic asphalt polymeric modified, 70-28 (L4);Raw materials;Bitumen;Mastic asphalt polymeric modified;Mastic asphalt polymeric modified, 70-28 (L4)
1LCEJ;22130173;Raw materials;Mastic asphalt polymeric modified, 76-22 (L4);Raw materials;Bitumen;Mastic asphalt polymeric modified;Mastic asphalt polymeric modified, 76-22 (L4)
1LCEK;22130172;Raw materials;Mastic asphalt polymeric modified, 76-28 (L4);Raw materials;Bitumen;Mastic asphalt polymeric modified;Mastic asphalt polymeric modified, 76-28 (L4)
1LCEL;22130171;Raw materials;Mastic asphalt polymeric modified, 82-22 (L4);Raw materials;Bitumen;Mastic asphalt polymeric modified;Mastic asphalt polymeric modified, 82-22 (L4)
1LCFA;22130128;Raw materials;Repair asphalt (L3);Raw materials;Bitumen;Repair asphalt;Repair asphalt (L3)
1LDAA;22340306;Raw materials;Cement (L2);Raw materials;Cement;Cement (L2);Cement (L2)
1LDBA;22340388;Raw materials;Masonry cement (L3);Raw materials;Cement;Masonry cement;Masonry cement (L3)
1LDBB;22340387;Raw materials;Masonry cement, grey type M (L4);Raw materials;Cement;Masonry cement;Masonry cement, grey type M (L4)
1LDBC;22340386;Raw materials;Masonry cement, grey type N (L4);Raw materials;Cement;Masonry cement;Masonry cement, grey type N (L4)
1LDBD;22340385;Raw materials;Masonry cement, grey type S (L4);Raw materials;Cement;Masonry cement;Masonry cement, grey type S (L4)
1LDBE;22340382;Raw materials;Masonry cement, white type M (L4);Raw materials;Cement;Masonry cement;Masonry cement, white type M (L4)
1LDBF;22340381;Raw materials;Masonry cement, white type N (L4);Raw materials;Cement;Masonry cement;Masonry cement, white type N (L4)
1LDBG;22340380;Raw materials;Masonry cement, white type S (L4);Raw materials;Cement;Masonry cement;Masonry cement, white type S (L4)
1LDCA;22340379;Raw materials;Portland cement (L3);Raw materials;Cement;Portland cement;Portland cement (L3)
1LDCB;22340378;Raw materials;Portland cement, CEM/type I (L4);Raw materials;Cement;Portland cement;Portland cement, CEM/type I (L4)
1LDCC;22340377;Raw materials;Portland cement, CEM/type II (L4);Raw materials;Cement;Portland cement;Portland cement, CEM/type II (L4)
1LDCD;22340376;Raw materials;Portland cement, CEM/type III (L4);Raw materials;Cement;Portland cement;Portland cement, CEM/type III (L4)
1LDCE;22340365;Raw materials;Portland cement, CEM/type IV (L4);Raw materials;Cement;Portland cement;Portland cement, CEM/type IV (L4)
1LDCF;22340369;Raw materials;Portland cement, CEM/type V (L4);Raw materials;Cement;Portland cement;Portland cement, CEM/type V (L4)
1LDCG;22340368;Raw materials;Portland cement, white cement (L4);Raw materials;Cement;Portland cement;Portland cement, white cement (L4)
1LDDA;22340367;Raw materials;Specialty cements (L3);Raw materials;Cement;Specialty cements;Specialty cements (L3)
1LEAA;22340389;Raw materials;Clinker (L2);Raw materials;Clinker;Clinker (L2);Clinker (L2)
1LFAA;22340102;Raw materials;Concrete (L2);Raw materials;Concrete;Concrete (L2);Concrete (L2)
1LGAA;22340200;Raw materials;Mortars (L2);Raw materials;Mortars;Mortars (L2);Mortars (L2)
1MAAA;89000000;Tax adm & empl benf;Taxes, admin & employee benefits (L1);Taxes, admin & employee benefits;Taxes, admin & employee benefits (L1);Taxes, admin & employee benefits (L1);Taxes, admin & employee benefits (L1)
1MBAA;89010000;Tax adm & empl benf;Branch subscriptions (L2);Taxes, admin & employee benefits;Branch subscriptions;Branch subscriptions (L2);Branch subscriptions (L2)
1MCAA;89020000;Tax adm & empl benf;Employee allowances & incentives (L2);Taxes, admin & employee benefits;Employee allowances & incentives;Employee allowances & incentives (L2);Employee allowances & incentives (L2)
1MCBA;89020100;Tax adm & empl benf;Employee allowances (L3);Taxes, admin & employee benefits;Employee allowances & incentives;Employee allowances;Employee allowances (L3)
1MCCA;89020200;Tax adm & empl benf;Employee incentives (L3);Taxes, admin & employee benefits;Employee allowances & incentives;Employee incentives;Employee incentives (L3)
1MCDA;89020300;Tax adm & empl benf;Pension / social security (L3);Taxes, admin & employee benefits;Employee allowances & incentives;Pension / social security;Pension / social security (L3)
1MDAA;89050000;Tax adm & empl benf;Fuel re-sales (L2);Taxes, admin & employee benefits;Fuel re-sales;Fuel re-sales (L2);Fuel re-sales (L2)
1MEAA;89030000;Tax adm & empl benf;Government tax & services (L2);Taxes, admin & employee benefits;Government tax & services;Government tax & services (L2);Government tax & services (L2)
1MEBA;89030100;Tax adm & empl benf;Business & income tax (L3);Taxes, admin & employee benefits;Government tax & services;Business & income tax;Business & income tax (L3)
1MECA;89030200;Tax adm & empl benf;Payroll & employee tax (L3);Taxes, admin & employee benefits;Government tax & services;Payroll & employee tax;Payroll & employee tax (L3)
1MEDA;89030300;Tax adm & empl benf;Penalties & fines (L3);Taxes, admin & employee benefits;Government tax & services;Penalties & fines;Penalties & fines (L3)
1MEEA;89030400;Tax adm & empl benf;Permits (L3);Taxes, admin & employee benefits;Government tax & services;Permits;Permits (L3)
1MEFA;89030500;Tax adm & empl benf;Property & real estate tax (L3);Taxes, admin & employee benefits;Government tax & services;Property & real estate tax;Property & real estate tax (L3)
1MEGA;89030600;Tax adm & empl benf;Road tax & tolls (L3);Taxes, admin & employee benefits;Government tax & services;Road tax & tolls;Road tax & tolls (L3)
1MEHA;89030700;Tax adm & empl benf;Sales & use tax (L3);Taxes, admin & employee benefits;Government tax & services;Sales & use tax;Sales & use tax (L3)
1MFAA;89040000;Tax adm & empl benf;Intercompany payments / admin fees (L2);Taxes, admin & employee benefits;Intercompany payments / admin fees;Intercompany payments / admin fees (L2);Intercompany payments / admin fees (L2)
1MGAA;25150589;Tax adm & empl benf;Marketing, commisions & rebates (L2);Taxes, admin & employee benefits;Marketing, commisions & rebates;Marketing, commisions & rebates (L2);Marketing, commisions & rebates (L2)
1MHAA;89060000;Tax adm & empl benf;Organisations / organizations & associations (L2);Taxes, admin & employee benefits;Organisations / organizations & associations;Organisations / organizations & associations (L2);Organisations / organizations & associations (L2)
1MIAA;25150588;Tax adm & empl benf;Sponsorship / donations (L2);Taxes, admin & employee benefits;Sponsorship / donations;Sponsorship / donations (L2);Sponsorship / donations (L2)
1ACEAA;22330100;Bldg comp & mfg mats;Prefabricated concrete (L3);Building components & manufacturing materials;Civils & drainage;Prefabricated concrete;Prefabricated concrete (L3)
1ACEAB;22330100;Bldg comp & mfg mats;Prefabricated concrete (L3);Building components & manufacturing materials;Civils & drainage;Prefabricated concrete;Prefabricated concrete (L3)
1ADFAC;21130700;Bldg comp & mfg mats;Lifting element (L3);Building components & manufacturing materials;Construction accessories;Lifting element;Lifting element (L3)
1APHBJ;35068004;Bldg comp & mfg mats;Stainless steel, bars & profiles (L4);Building components & manufacturing materials;Steel;Stainless steel;Stainless steel, bars & profiles (L4)
1KDGB;36120000;Production equipment;Materials handling equipment (L2);Production equipment;Materials handling equipment;Materials handling equipment (L2);Materials handling equipment (L2)
1EDBA;25151701;General services;Corporate fleet (L2);General services;Corporate fleet;Corporate fleet (L2);Corporate fleet (L2)
1GCDB;14029000;Logistics;Intercompany Transportation (L3);Logistics;Freight ;Intercompany Transportation;Intercompany Transportation (L3)
1APHBK;35068004;Bldg comp & mfg mats;Stainless steel, bars & profiles (L4);Building components & manufacturing materials;Steel;Stainless steel;Stainless steel, bars & profiles (L4)
1EDBB;25151701;General services;Corporate fleet (L2);General services;Corporate fleet;Corporate fleet (L2);Corporate fleet (L2)
1A;22000000;Bldg comp & mfg mats;Building components & manufacturing materials (L1);Building components & manufacturing materials;Building components & manufacturing materials (L1);Building components & manufacturing materials (L1);Building components & manufacturing materials (L1)
