Region;CountryCode;SAPShippingPoint;WarehouseName;Type;SAPCode;WarehouseType;Address;Zipcode;City;LogisticsAreaInM2;FTELogistics;FullAddress
APAC;NZ;;Leviat Christchurch;Leviat;;Local warehouse;2/19 Nuttall Drive;8022;Hillsborough;;;New-Zealand 2/19 Nuttall Drive 8022 Hillsborough
Europe;PL;PL01 LEVIAT KALISZ (PL01);Leviat Kalisz;Leviat;PL01;Central warehouse;Rozwojowa 3;62-800;Kalisz;;;Poland Rozwojowa 3 62-800 Kalisz
Europe;PL;;Winner Kalisz;3PL;;HUB;Ul. Rozwojowa 1;62-800;Kalisz;;;Poland Ul. Rozwojowa 1 62-800 Kalisz
Europe;SE;SES1 Incorp (SES1);Incorp;3PL;SES1;3PL warehouse;Exportgatan 61;422 46;Hisings Backa;;;Sweden Exportgatan 61 422 46 Hisings Backa
Europe;SE;;Milles TeknikPla;3PL;SES2;3PL warehouse;Bergsjödalen 55;415 23;Göteborg;;;Sweden Bergsjödalen 55 415 23 Göteborg
Europe;SE;;DISTEX Bygg. AB;3PL;SES3;3PL warehouse;Hedentorpsvägen 8;291 59;Kristianstad;;;Sweden Hedentorpsvägen 8 291 59 Kristianstad
APAC;SG;;Leviat Singapore;Leviat;;Local warehouse;14 Benoi Cres;629977;Singapore;;;Singapore 14 Benoi Cres 629977 Singapore
US;US;;Leviat Anaheim;Leviat;;Local warehouse;3611 E La Palme Avenue;CA 92806;Anaheim;1847.84;3;United States 3611 E La Palme Avenue CA 92806 Anaheim
US;US;;Leviat Tampa;Leviat;;Local warehouse;6467 S Falkenburg Road;FL 33578;Tampa;4472.26;5;United States 6467 S Falkenburg Road FL 33578 Tampa
US;US;;Leviat Atlanta;Leviat;;Local warehouse;3080 N Lanier Parkway;GA 30034;Decatur;3773.44;7;United States 3080 N Lanier Parkway GA 30034 Decatur
US;US;;Leviat Des Moines;Leviat;;Local warehouse;1000 Technology Drive;IA 50036;Des Moines;5574.18;3;United States 1000 Technology Drive IA 50036 Des Moines
US;US;;Leviat Bergen County;Leviat;;Local warehouse;526 US Route 46;NJ 07608;Teterboro ;1660.83;3;United States 526 US Route 46 NJ 07608 Teterboro 
US;US;;Leviat Portland;Leviat;;Local warehouse;155 SE Hazel Dell Way;0R 97013;Canby;1282.06;3;United States 155 SE Hazel Dell Way 0R 97013 Canby
US;US;;Leviat Hazleton;Leviat;;Local warehouse;565 Oak Ridge Road;PA 18202;Hazleton;4366.44;5;United States 565 Oak Ridge Road PA 18202 Hazleton
US;US;;Leviat San Antonio;Leviat;;Local warehouse;4965 Eisenhauer Rd #101;TX 78218;Windcrest;6340.63;6;United States 4965 Eisenhauer Rd #101 TX 78218 Windcrest
US;US;;Leviat Fort Worth;Leviat;;Local warehouse;7000 Will Rogers Blvd;TX 76140;Fort Worth;4598.70;7;United States 7000 Will Rogers Blvd TX 76140 Fort Worth
