SalesOrganizationID,CountryID,ZipCodeFrom,ZipCodeTo,SalesDistrictID
AT01,AT,2214,2214,AT_02
AT01,AT,2215,2215,AT_02
AT01,AT,2221,2221,AT_02
AT01,AT,2222,2222,AT_02
AT01,AT,2223,2223,AT_02
AT01,AT,2224,2224,AT_02
AT01,AT,2225,2225,AT_02
AT01,AT,2230,2230,AT_02
AT01,AT,2231,2231,AT_02
AT01,AT,2232,2232,AT_02
AT01,AT,2241,2241,AT_02
AT01,AT,2242,2242,AT_02
AT01,AT,2243,2243,AT_02
AT01,AT,2244,2244,AT_02
AT01,AT,2245,2245,AT_02
AT01,AT,2251,2251,AT_02
AT01,AT,2252,2252,AT_02
AT01,AT,2253,2253,AT_02
AT01,AT,2261,2261,AT_02
AT01,AT,2262,2262,AT_02
AT01,AT,2263,2263,AT_02
AT01,AT,2264,2264,AT_02
AT01,AT,2265,2265,AT_02
AT01,AT,2272,2272,AT_02
AT01,AT,2273,2273,AT_02
AT01,AT,2274,2274,AT_02
AT01,AT,2275,2275,AT_02
AT01,AT,2276,2276,AT_02
AT01,AT,2280,2280,AT_02
AT01,AT,2281,2281,AT_02
AT01,AT,2282,2282,AT_02
AT01,AT,2283,2283,AT_02
AT01,AT,2284,2284,AT_02
AT01,AT,2285,2285,AT_02
AT01,AT,2286,2286,AT_02
AT01,AT,2291,2291,AT_02
AT01,AT,2292,2292,AT_02
AT01,AT,2293,2293,AT_02
AT01,AT,2294,2294,AT_02
AT01,AT,2295,2295,AT_02
AT01,AT,2301,2301,AT_02
AT01,AT,2304,2304,AT_02
AT01,AT,2305,2305,AT_02
AT01,AT,2320,2320,AT_02
AT01,AT,2322,2322,AT_02
AT01,AT,2324,2324,AT_02
AT01,AT,2325,2325,AT_02
AT01,AT,2326,2326,AT_02
AT01,AT,2331,2331,AT_02
AT01,AT,2332,2332,AT_02
AT01,AT,2333,2333,AT_02
AT01,AT,2334,2334,AT_02
AT01,AT,2340,2340,AT_02
AT01,AT,2344,2344,AT_02
AT01,AT,2345,2345,AT_02
AT01,AT,2346,2346,AT_02
AT01,AT,2348,2348,AT_02
AT01,AT,2349,2349,AT_02
AT01,AT,2351,2351,AT_02
AT01,AT,2352,2352,AT_02
AT01,AT,2353,2353,AT_02
AT01,AT,2355,2355,AT_02
AT01,AT,2356,2356,AT_02
AT01,AT,2361,2361,AT_02
AT01,AT,2362,2362,AT_02
AT01,AT,2371,2371,AT_02
AT01,AT,2372,2372,AT_02
AT01,AT,2380,2380,AT_02
AT01,AT,2381,2381,AT_02
AT01,AT,2382,2382,AT_02
AT01,AT,2384,2384,AT_02
AT01,AT,2391,2391,AT_02
AT01,AT,2392,2392,AT_02
AT01,AT,2393,2393,AT_02
AT01,AT,2401,2401,AT_02
AT01,AT,2402,2402,AT_02
AT01,AT,2403,2403,AT_02
AT01,AT,2404,2404,AT_02
AT01,AT,2405,2405,AT_02
AT01,AT,2406,2406,AT_02
AT01,AT,2410,2410,AT_02
AT01,AT,2412,2412,AT_02
AT01,AT,2413,2413,AT_02
AT01,AT,2421,2421,AT_07
AT01,AT,2422,2422,AT_07
AT01,AT,2423,2423,AT_07
AT01,AT,2424,2424,AT_07
AT01,AT,2425,2425,AT_07
AT01,AT,2431,2431,AT_02
AT01,AT,2432,2432,AT_02
AT01,AT,2433,2433,AT_02
AT01,AT,2434,2434,AT_02
AT01,AT,2435,2435,AT_02
AT01,AT,2440,2440,AT_02
AT01,AT,2441,2441,AT_02
AT01,AT,2442,2442,AT_02
AT01,AT,2443,2443,AT_02
AT01,AT,2444,2444,AT_02
AT01,AT,2445,2445,AT_02
AT01,AT,2451,2451,AT_02
AT01,AT,2452,2452,AT_02
AT01,AT,2453,2453,AT_02
AT01,AT,2454,2454,AT_02
AT01,AT,2460,2460,AT_02
AT01,AT,2462,2462,AT_02
AT01,AT,2463,2463,AT_02
AT01,AT,2464,2464,AT_02
AT01,AT,2465,2465,AT_02
AT01,AT,2471,2471,AT_02
AT01,AT,2472,2472,AT_02
AT01,AT,2473,2473,AT_07
AT01,AT,2474,2474,AT_07
AT01,AT,2475,2475,AT_07
AT01,AT,2481,2481,AT_02
AT01,AT,2482,2482,AT_02
AT01,AT,2483,2483,AT_02
AT01,AT,2484,2484,AT_02
AT01,AT,2485,2485,AT_02
AT01,AT,2486,2486,AT_02
AT01,AT,2490,2490,AT_02
AT01,AT,2491,2491,AT_07
AT01,AT,2492,2492,AT_02
AT01,AT,2493,2493,AT_02
AT01,AT,2500,2500,AT_02
AT01,AT,2504,2504,AT_02
AT01,AT,2505,2505,AT_02
AT01,AT,2511,2511,AT_02
AT01,AT,2512,2512,AT_02
AT01,AT,2513,2513,AT_02
AT01,AT,2514,2514,AT_02
AT01,AT,2521,2521,AT_02
AT01,AT,2522,2522,AT_02
AT01,AT,2523,2523,AT_02
AT01,AT,2524,2524,AT_02
AT01,AT,2525,2525,AT_02
AT01,AT,2531,2531,AT_02
AT01,AT,2532,2532,AT_02
AT01,AT,2533,2533,AT_02
AT01,AT,2534,2534,AT_02
AT01,AT,2540,2540,AT_02
AT01,AT,2542,2542,AT_02
AT01,AT,2544,2544,AT_02
AT01,AT,2551,2551,AT_02
AT01,AT,2552,2552,AT_02
AT01,AT,2560,2560,AT_02
AT01,AT,2563,2563,AT_02
AT01,AT,2564,2564,AT_02
AT01,AT,2565,2565,AT_02
AT01,AT,2571,2571,AT_02
AT01,AT,2572,2572,AT_02
AT01,AT,2601,2601,AT_02
AT01,AT,2602,2602,AT_02
AT01,AT,2603,2603,AT_02
AT01,AT,2604,2604,AT_02
AT01,AT,2620,2620,AT_02
AT01,AT,2624,2624,AT_02
AT01,AT,2625,2625,AT_02
AT01,AT,2630,2630,AT_02
AT01,AT,2631,2631,AT_02
AT01,AT,2632,2632,AT_02
AT01,AT,2640,2640,AT_02
AT01,AT,2641,2641,AT_02
AT01,AT,2642,2642,AT_02
AT01,AT,2650,2650,AT_02
AT01,AT,2651,2651,AT_02
AT01,AT,2654,2654,AT_02
AT01,AT,2661,2661,AT_02
AT01,AT,2662,2662,AT_02
AT01,AT,2663,2663,AT_02
AT01,AT,2671,2671,AT_02
AT01,AT,2673,2673,AT_02
AT01,AT,2680,2680,AT_02
AT01,AT,2700,2700,AT_02
AT01,AT,2703,2703,AT_02
AT01,AT,2705,2705,AT_02
AT01,AT,2706,2706,AT_02
AT01,AT,2707,2707,AT_02
AT01,AT,2721,2721,AT_02
AT01,AT,2722,2722,AT_02
AT01,AT,2723,2723,AT_02
AT01,AT,2724,2724,AT_02
AT01,AT,2731,2731,AT_02
AT01,AT,2732,2732,AT_02
AT01,AT,2733,2733,AT_02
AT01,AT,2734,2734,AT_02
AT01,AT,2751,2751,AT_02
AT01,AT,2752,2752,AT_02
AT01,AT,2753,2753,AT_02
AT01,AT,2754,2754,AT_02
AT01,AT,2755,2755,AT_02
AT01,AT,2761,2761,AT_02
AT01,AT,2763,2763,AT_02
AT01,AT,2770,2770,AT_02
AT01,AT,2801,2801,AT_02
AT01,AT,2802,2802,AT_02
AT01,AT,2803,2803,AT_02
AT01,AT,2811,2811,AT_02
AT01,AT,2812,2812,AT_02
AT01,AT,2813,2813,AT_02
AT01,AT,2821,2821,AT_02
AT01,AT,2822,2822,AT_02
AT01,AT,2823,2823,AT_02
AT01,AT,2824,2824,AT_02
AT01,AT,2831,2831,AT_02
AT01,AT,2832,2832,AT_02
AT01,AT,2833,2833,AT_02
AT01,AT,2840,2840,AT_02
AT01,AT,2842,2842,AT_02
AT01,AT,2851,2851,AT_02
AT01,AT,2852,2852,AT_02
AT01,AT,2853,2853,AT_02
AT01,AT,2860,2860,AT_02
AT01,AT,2870,2870,AT_02
AT01,AT,2871,2871,AT_02
AT01,AT,2872,2872,AT_02
AT01,AT,2873,2873,AT_02
AT01,AT,2880,2880,AT_02
AT01,AT,2881,2881,AT_02
AT01,AT,3001,3001,AT_02
AT01,AT,3002,3002,AT_02
AT01,AT,3003,3003,AT_02
AT01,AT,3004,3004,AT_02
AT01,AT,3011,3011,AT_02
AT01,AT,3012,3012,AT_02
AT01,AT,3013,3013,AT_02
AT01,AT,3021,3021,AT_02
AT01,AT,3031,3031,AT_02
AT01,AT,3032,3032,AT_02
AT01,AT,3033,3033,AT_02
AT01,AT,3034,3034,AT_02
AT01,AT,3040,3040,AT_02
AT01,AT,3041,3041,AT_02
AT01,AT,3042,3042,AT_02
AT01,AT,3051,3051,AT_02
AT01,AT,3052,3052,AT_02
AT01,AT,3053,3053,AT_02
AT01,AT,3061,3061,AT_02
AT01,AT,3062,3062,AT_02
AT01,AT,3071,3071,AT_02
AT01,AT,3072,3072,AT_02
AT01,AT,3073,3073,AT_02
