Customer,CompanyID,UniqueCustomerNumber,CustName,Parent_Name,CustSegment,CustCategory,SalesGroup,RSM,LineDisc,STATE,DateOpened,CreatedDate,LTMsales,NewHalfenCust,CSG,InsideOutside,InsideFlag,Region,CustomerPillar,Country
004559,045,045-004559,Harmon Inc.(MN),Harmon Inc.,Glazing Contractor,Contractor,GregHolsho,Con-Fab,,IL,3/26/2020,3/26/2020," 18,622 ",New Halfen,,O,,North,Other,US
001478,045,045-001478,Park Environmental Equipment,Park Environmental Equipment,Utility Precast Producer,Precast,DavidChris,Prec-Pres,PrecastC,TX,8/8/1994,11/27/2010," 18,594 ",,,O,,South,Precast,US
000734,045,045-000734,"CMC Rebar - King George, VA",CMC Rebar,Rebar Fabricator- National,Fabricator,EJPfab,Con-Fab,Fabric A,VA,2/5/2007,11/27/2010," 18,571 ",,,O,,North,Other,US
003252,045,045-003252,Coreslab - Indianapolis,Coreslab,Prestress Producer,Prestress Producer,NickFain,Prec-Pres,PrecastA,IN,4/20/2015,4/20/2015," 18,492 ",,,O,,North,Precast,US
002823,045,045-002823,WC Columbus #200,White Cap,White Cap,Distributor,GregArnet,Con-Fab,Whitecap,GA,2/5/2013,2/5/2013," 18,433 ",,CSG,O,,South,Other,US
003496,045,045-003496,Carrillo Handrail Systems Inc. dba Safety Anchor Post,Carrillo Handrail Systems Inc.,Regional Contractor,Contractor,DwightWeev,Con-Fab,OEM B,CA,6/28/2017,6/28/2017," 18,425 ",,,O,,West,Other,US
100030,045,045-100030,Camp Precast Concrete Products,Camp Precast Concrete Products,Utility Precast Producer,Precast,GaryPascoe,Prec-Pres,,VT,1/1/1900,10/27/2012," 18,361 ",,,O,,North,Precast,US
000561,045,045-000561,All-Pro Fasteners Inc.,All-Pro FastenersInc.,Distributor- Local,Distributor,KelseyWahl,Con-Fab,DealerC,TX,2/10/1997,11/27/2010," 18,224 ",,,O,,South,Other,US
001151,045,045-001151,Mccarthy Jones &,Mccarthy Jones &,Rebar Fabricator- Local,Fabricator,GregArnet,Con-Fab,FabricD,TN,1/12/1992,11/27/2010," 18,212 ",,,O,,South,Other,US
000778,045,045-000778,Superior Structures,Superior Structures,Utility Precast Producer,Precast,GaryPascoe,Prec-Pres,PrecastC,MD,9/9/1994,11/27/2010," 18,178 ",,,O,,North,Precast,US
005070,045,045-005070,Schuff Steel Company,,Rebar Fabricator- Local,Fabricator,DwightWeev,Con-Fab,,AZ,3/26/2020,3/26/2020," 18,148 ",New Halfen,,O,,West,Other,US
004695,045,045-004695,Kone Elevator & Escalators,Kone Inc.,National Contractor,Contractor,GregHolsho,Con-Fab,,IL,3/26/2020,3/26/2020," 17,912 ",New Halfen,,O,,North,Other,US
004168,045,045-004168,BYD Coach & Bus LLC,BYD Coach & Bus LLC,Job/Other,Other,DwightWeev,Con-Fab,,CA,3/26/2020,3/26/2020," 17,736 ",New Halfen,,O,,West,Other,US
003119,045,045-003119,Sundry Sales - HOUSE Sales,Sundry Sales,MB Sundry,Other,House,Con-Fab,,,6/26/2014,6/26/2014," 17,577 ",,,O,,,Other,
000685,045,045-000685,WC Springfield #117,White Cap,White Cap,Distributor,RichBrownr,Con-Fab,Whitecap,MO,11/18/2005,11/27/2010," 17,458 ",,CSG,O,,South,Other,US
005783,045,045-005783,Ever-Ready Glass Commercial Glazing,Ever-Ready Glass Commercial Glazing,Glazing Contractor,Contractor,DwightWeev,con-fab,,AZ,5/18/2021,5/18/2021," 17,321 ",,,O,,West,Other,US
001397,045,045-001397,Wc Pharr #708,White Cap,White Cap,Distributor,GregArnet,Con-Fab,Whitecap,TX,10/17/2007,11/27/2010," 17,292 ",,CSG,O,,South,Other,US
100241,045,045-100241,Yavapai Block Precast Co.,Yavapai Block Precast Co.,Utility Precast Producer,Precast,EricNesset,Prec-Pres,,AZ,1/1/1900,10/27/2012," 17,282 ",,,O,,West,Precast,US
005510,045,045-005510,Mazzella Lifting Technologies,Mazzella Lifting Technologies,Distributor- Regional,Distributor,LoriDykes,con-fab,PrecastB,FL,6/23/2020,6/23/2020," 17,268 ",,,O,,South,Other,US
005338,045,045-005338,Walt Disney Imagineering R&D,,National Contractor,Contractor,DwightWeev,Con-Fab,,CA,3/26/2020,3/26/2020," 17,203 ",New Halfen,,O,,West,Other,US
